,,,,,,,,
"083 Sitio Lubigan Plaza Aldea, Tanay Rizal / Victoria Sports Tower   Contact: 09175179996
Email: lanrossconsumergoodstrading@gmail.com ",,,,,,,,
39,500,gram,,Bendosen,Nickel(II) nitrate powder,4900,1,4900
40,100,gram,,Merck,Dimethylglyoxime reagent,190,1,190
41,500,gram,,Scharlau,Ammonium thiocyanate,290,1,290
42,20,pcs,,Newstar,Lead acetate paper,150,1,150
43,100,gram,,Hawn,Cobalt acetate,3900,1,3900
44,100,gram,,Merck,"Calcium(II) nitrate, AR",6700,1,6700
45,100,gram,,Merck,Strontium(II) nitrate,8900,1,8900
46,100,gram,,Merck,Barium(II) nitrate ,15900,1,15900
47,500,gram,,Damad,Ammonium carbonate,2850,1,2850
48,500,gram,,HiMedia,Sodium hydroxide pellets,2780,1,2780
49,500,gram,,HiMedia,Sodium carbonate,2800,1,2800
50,500,gram,,Loba Chemie,Ammonium sulfate,3950,1,3950
51,100,gram,,Dalkem,Sodium thiosulfate,350,1,350
52,500,gram,,Damao,Ammonium oxalate ,2000,1,2000
53,500,gram,,Bendosen,Sodium(I) nitrate,1900,1,1900
54,100,gram,,Merck,Potassium(I) nitrate,10500,1,10500
55,100,gram,,Loba Chemie,Ammonium nitrate,4500,1,4500
56,50,gram,,Merck,8-hHdroxyquinoline,11500,1,11500
57,50,gram,,Sigma Aldrich,Sodium hexanitritocobaltate(III),14100,1,14100
58,1,set,,N/A,"100 Microscope Slides with Specimens Set, Lab-Grade Prepared Microscope Slides for Animal/Plant/Microbe/Tissue/ Cells, STEM Biology Kit",15500,1,15500
59,1,pc,,Staila,"Spot plate, 12 holes",550,10,5500
60,1,pc,,N/A,"Inoculating loop, metal(nichrome wire)

",150,15,2250
61,1,pc,,Chuan,"Graduated glass dropper, 10 ml",140,5,700
62,1,pc,,N/A,"Rope Cotton Wick for alcohol lamp, 3 mm x 10 m",370,1,370
63,1,bot,,Benadryl,"Diphenyhramine HCl (Benadryl)

",550,1,550
64,25,gram,,Macklin,Lithium chloride,2800,1,2800
65,500,gram,,Dalkem,Copper sulfate,1400,1,1400
66,500,ml,,PURE,Hydrogen peroxide (35%),2900,1,2900
67,500,ml,,Labcoms,Fehling's reagent,5500,1,5500
68,500,ml,,Medic,Benedict's reagent,880,1,880
69,100,ml,,Scientific Phygene,Molisch reagent,3000,1,3000
70,100,ml,,LabChem,Millon reagent,5400,1,5400
71,250,gram,,Dalkem,"Lactose, FG",500,1,500
72,1,set,,Litmus,Litmus paper (red and blue),300,2,600
73,1,unit,,Strips,PH paper box 100's,250,1,250
,,,,,Total,376910,,
Sign by:Samantha Fajanilan,,,,,,,,
